Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness
28395,610.291,208.1781167,NA,1.197191424,0.549812187,28715,190.1410973,NA,0.988855999,NA,0.913357755
28734,638.018,200.5247957,NA,1.097356461,0.411785251,NA,191.2727505,0.783968133,0.984985603,NA,0.953860842
29380,624.11,212.8261299,175.9311426,1.209712656,0.562727317,NA,193.4109041,NA,0.989558774,NA,0.908774239
30008,645.884,210.557999,NA,1.153638059,0.498615976,NA,195.4670618,0.782681273,0.976695743,0.903936374,0.928328835
NA,620.134,201.8478822,190.2792788,1.06079802,0.333679658,NA,195.896503,0.773098035,0.99089325,0.984877069,0.970515523
30279,634.927,212.5605564,NA,1.171066849,0.52040066,30600,196.3477022,0.775688485,0.989509804,NA,0.923725952
30477,670.033,NA,NA,1.146768336,0.489477894,NA,196.9886332,0.762401501,0.984081369,NA,0.933373552
30519,629.727,212.9967551,182.7372038,1.165590535,0.513759558,30847,197.1243203,0.770681818,0.989366875,NA,0.925480392
30685,635.681,213.5341452,183.1571463,1.165852108,0.51408086,NA,197.659696,0.771561479,0.988435769,NA,0.925658498
30834,631.934,217.2278128,NA,1.2008339,0.553642225,NA,198.1390121,0.783682806,0.990809769,NA,0.91212543
30917,640.765,213.5600894,NA,1.157884618,0.504102365,NA,198.4055115,0.770805285,0.988395141,NA,0.929038343
31091,638.558,210.4862549,188.3268476,1.117664622,0.446621924,31458,198.9630385,0.786377317,0.988333651,NA,0.945254305
NA,640.594,214.6485485,184.9692526,1.160455295,0.507365875,NA,199.0142269,0.761046142,0.989943672,NA,0.927163162
31158,642.626,216.4848362,NA,1.178826797,0.529514251,NA,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198
31158,641.105,NA,187.1929601,1.132879009,0.469924157,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858
NA,636.888,NA,NA,1.141582018,0.482352224,31520,199.2412169,NA,0.989149746,NA,0.935510513
NA,644.454,215.6406947,NA,1.168963657,0.517871223,NA,199.3178875,0.779192888,0.988249454,0.944079243,0.924305534
NA,639.782,215.067737,NA,1.163315112,0.510946829,NA,199.3210815,NA,0.988750871,0.957948542,0.926782809
31272,638.666,212.4503189,187.535939,1.132851229,0.469883494,NA,199.5413417,0.770322199,0.989839521,NA,0.939237666
NA,635.011,216.7900923,184.1634403,1.177161395,0.52758671,NA,199.7422367,NA,0.991645305,NA,0.921362386
31374,636.401,219.865394,NA,1.207992784,0.56099452,NA,199.8664991,NA,0.99272244,NA,0.909040279
31530,638.857,213.7856543,188.0664823,1.136755746,0.475535642,NA,200.3627781,NA,0.991790129,NA,0.937213391
31573,674.103,217.3070261,185.4482507,1.171793345,0.52126839,NA,200.499357,0.756964757,0.980619312,0.873118507,0.922654737
31637,656.711,229.7192546,175.510446,1.308863717,0.645190802,NA,200.702465,0.761823348,0.987267905,NA,0.873685862
31675,657.431,236.7526321,NA,1.3828156,0.690678219,NA,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622
31682,646.721,NA,192.2484159,1.092574316,0.402841974,NA,200.8451524,0.773184303,0.989258727,NA,0.956197485
NA,656.305,215.7089067,NA,1.151845384,0.496263281,NA,200.9117052,0.777110501,0.987847817,NA,0.931401991
31748,641.826,219.7765183,184.1151053,1.193690859,0.546072628,NA,201.0542441,0.775589974,0.991505309,0.968482156,0.914812218
